Sample,Smiles,Raw,Normalized,Predicted
TP_0017,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0.558358481,0.267867344,0.4066264708355058
TP_0017,COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0.681173057,0.321744804,0.4053191209827563
TP_0017,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,1.43794767,0.653733849,0.31392198004287164
TP_0017,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,0.337170795,0.170834638,0.5966637715771507
TP_0017,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,0.328062174,0.166838782,0.2093970503266246
TP_0017,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,0.203425874,0.112162151,0.21756976522722205
TP_0017,CN1CCN(CC1)C1=CC=C(C(=O)NC2=NNC3=CC=C(CC4=CC(F)=CC(F)=C4)C=C23)C(NC2CCOCC2)=C1,1.023657215,0.471988994,0.2360258864184614
TP_0017,O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=C(F)C=CC(F)=C1,0.705462713,0.33240042,0.8029334169047322
TP_0017,C[C@@H](OC1=CC(=NN=C1N)C(=O)NC1=CC=C(C=C1)C(=O)N1C[C@H](C)N[C@H](C)C1)C1=C(Cl)C=CC(F)=C1Cl,1.675227253,0.7578259,0.29910781102151973
TP_0017,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,2.454317987,1.0,0.5889634170290741
TP_0017,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1,0.623333312,0.296371118,0.7502948913836703
TP_0017,COC1=NC=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=C1,1.689497426,0.764086075,0.5363750027679606
TP_0017,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,0.547883566,0.263272109,0.24447108051759292
TP_0017,CC(C)C1=NC=CC(C)=C1N1C(=O)N=C(N2CCN(C[C@@H]2C)C(=O)C=C)C2=CC(F)=C(N=C12)C1=C(O)C=CC=C1F,2.099689001,0.944032794,0.8258758070486347
TP_0017,O=C(NC1=CC=C(C=C1)C1(CCCC1)C#N)C1=CC=CN=C1NCC1=CC=NC=C1,1.147838084,0.526465832,0.6243179105039055
TP_0017,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,0.442678991,0.217119971,0.36347940236589293
TP_0017,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,0.634263658,0.301166145,0.4283709750430533
TP_0017,NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F,1.319687404,0.601854317,0.7233498397704723
TP_0017,CN(C)CCNS(=O)(=O)CC1=CC(NC2=NC(OC3=CC4=C(NC(C)=C4)C=C3)=CC=N2)=CC=C1,0.896895569,0.416379996,0.49852709100687836
TP_0017,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F,1.372061976,0.624830489,0.6537182209661242
TP_0017,NC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C(=O)N[C@@H](CCO)C1=CC=C(Cl)C=C1,0.859094791,0.399797193,0.3197346735663097
TP_0017,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C,0.558510291,0.267933942,0.4731535674711572
TP_0017,N[Pt](N)(Cl)Cl,1.089391098,0.500825755,0.709518531613553
TP_0017,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,1.290691627,0.589134175,0.28899896832115823
TP_V032,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,1.545718433,0.701011746,0.4566202597319923
TP_V032,COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0.24383164,0.129887735,0.4463770370709251
TP_V032,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,0.208998549,0.114606825,0.40015456833741714
TP_V032,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,0.391872279,0.194831603,0.5605328937539817
TP_V032,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,0.034833091,0.038202275,0.3357077389688502
TP_V032,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,-0.052249637,0.0,0.34525500483243543
TP_V032,CN1CCN(CC1)C1=CC=C(C(=O)NC2=NNC3=CC=C(CC4=CC(F)=CC(F)=C4)C=C23)C(NC2CCOCC2)=C1,-0.043541364,0.003820228,0.3572169071471182
TP_V032,O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=C(F)C=CC(F)=C1,0.674891147,0.318988996,0.6796296143860915
TP_V032,C[C@@H](OC1=CC(=NN=C1N)C(=O)NC1=CC=C(C=C1)C(=O)N1C[C@H](C)N[C@H](C)C1)C1=C(Cl)C=CC(F)=C1Cl,0.252539913,0.133707962,0.38071997233298654
TP_V032,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,0.152394775,0.089775346,0.5535193170118532
